Distribuzione;N;p;Runs;Throughput;+/-;Wait_Time;Avg_Util_%;Max_Util_%;Avg_Queue;Max_Queue;Real_Read_%
Lognormal;100;0,3;5;5,01;0,02;0,1021;2,5;7,46;1,0;3,0;30,2
Lognormal;500;0,3;5;25,01;0,07;0,1137;12,36;36,7;1,02;6,0;30,1
Lognormal;1000;0,3;5;50,01;0,07;0,1464;24,35;71,11;1,12;15,0;30,0
Lognormal;1200;0,3;5;59,99;0,04;0,1827;28,99;83,96;1,25;28,0;30,0
Lognormal;1500;0,3;5;74,73;0,08;15,2471;35,64;99,98;58,81;2233,0;30,0
Lognormal;1600;0,3;5;78,76;0,08;69,7613;37,47;100,0;299,93;9664,0;30,0
Lognormal;2000;0,3;5;92,38;0,11;292,475;43,67;100,0;1893,05;39547,0;30,0
Lognormal;2500;0,3;5;106,5;0,14;478,7682;50,06;100,0;4609,95;76922,0;30,0
Lognormal;3000;0,3;5;118,55;0,13;592,1959;55,44;100,0;7851,98;114396,0;30,0
Lognormal;3500;0,3;5;127,34;0,13;703,9095;59,43;100,0;11908,71;151936,0;30,0
Lognormal;4000;0,3;5;134,82;0,18;773,4788;62,84;100,0;16292,28;189448,0;30,0
Lognormal;5000;0,3;5;147,77;0,13;829,5779;68,67;100,0;25561,33;264347,0;30,0
Lognormal;100;0,5;5;5,01;0,02;0,1017;2,49;7,42;1,0;3,0;50,0
Lognormal;500;0,5;5;25,01;0,07;0,1108;12,14;35,53;1,01;6,0;50,1
Lognormal;1000;0,5;5;50,01;0,07;0,1318;23,41;66,14;1,08;12,0;50,0
Lognormal;1200;0,5;5;59,99;0,04;0,148;27,61;76,65;1,14;20,0;50,0
Lognormal;1500;0,5;5;74,95;0,08;0,2023;33,52;90,03;1,38;44,0;50,0
Lognormal;1600;0,5;5;79,95;0,09;0,2493;35,39;93,83;1,6;55,0;50,0
Lognormal;2000;0,5;5;97,63;0,11;105,0676;41,86;100,0;577,02;16110,0;50,0
Lognormal;2500;0,5;5;114,23;0,1;322,7972;48,07;100,0;2672,47;53475,0;50,0
Lognormal;3000;0,5;5;128,36;0,12;469,8957;53,24;100,0;5396,29;90949,0;50,0
Lognormal;3500;0,5;5;140,87;0,11;563,137;57,65;100,0;8524,84;128488,0;50,0
Lognormal;4000;0,5;5;150,13;0,12;669,8715;61,09;100,0;12464,26;166001,0;50,0
Lognormal;5000;0,5;5;165,69;0,14;782,9556;66,83;100,0;21078,67;240899,0;50,0
Lognormal;100;0,8;5;5,01;0,02;0,1008;2,47;7,31;1,0;3,0;79,8
Lognormal;500;0,8;5;25,01;0,07;0,1048;11,65;33,1;1,01;5,0;80,0
Lognormal;1000;0,8;5;50,01;0,07;0,1115;21,65;57,91;1,03;10,0;80,0
Lognormal;1200;0,8;5;59,99;0,04;0,115;25,21;65,7;1,05;11,0;80,0
Lognormal;1500;0,8;5;74,95;0,07;0,1214;30,09;75,21;1,08;16,0;80,0
Lognormal;1600;0,8;5;79,95;0,09;0,1239;31,61;77,92;1,1;18,0;80,0
Lognormal;2000;0,8;5;99,93;0,15;0,1364;37,18;86,53;1,18;25,0;80,0
Lognormal;2500;0,8;5;124,92;0,14;0,1611;43,1;93,38;1,38;41,0;80,0
Lognormal;3000;0,8;5;149,96;0,19;0,2113;48,09;97,32;1,83;78,0;80,0
Lognormal;3500;0,8;5;174,98;0,17;0,4203;52,33;99,46;3,8;247,0;80,0
Lognormal;4000;0,8;5;197,51;0,21;58,4486;55,96;100,0;626,18;21978,0;80,0
Lognormal;5000;0,8;5;231,84;0,16;282,7788;61,84;100,0;4557,56;96832,0;80,0
Uniform;100;0,3;5;4,99;0,02;0,1012;2,49;2,57;1,0;2,0;30,2
Uniform;500;0,3;5;24,98;0,08;0,1064;12,42;12,62;1,01;4,0;30,1
Uniform;1000;0,3;5;49,91;0,1;0,1147;24,65;24,95;1,04;6,0;30,0
Uniform;1200;0,3;5;59,88;0,09;0,1188;29,48;29,81;1,06;7,0;30,0
Uniform;1500;0,3;5;74,85;0,09;0,126;36,68;37,02;1,1;8,0;30,0
Uniform;1600;0,3;5;79,85;0,1;0,1288;39,07;39,44;1,12;8,0;30,0
Uniform;2000;0,3;5;99,81;0,08;0,1421;48,5;48,95;1,21;10,0;30,0
Uniform;2500;0,3;5;124,81;0,05;0,1668;60,05;60,56;1,42;13,0;30,0
Uniform;3000;0,3;5;149,79;0,05;0,2094;71,24;71,76;1,82;20,0;30,0
Uniform;3500;0,3;5;174,82;0,05;0,2998;82,02;82,58;2,75;32,0;30,0
Uniform;4000;0,3;5;199,8;0,07;0,6164;92,26;92,83;6,16;63,0;30,0
Uniform;5000;0,3;5;219,77;0,03;526,7274;100,0;100,0;7491,98;15784,0;30,0
Uniform;100;0,5;5;4,99;0,02;0,101;2,49;2,56;1,0;2,0;50,1
Uniform;500;0,5;5;24,98;0,08;0,1052;12,29;12,49;1,01;4,0;50,0
Uniform;1000;0,5;5;49,91;0,1;0,1117;24,14;24,43;1,03;5,0;50,0
Uniform;1200;0,5;5;59,88;0,09;0,1148;28,75;29,04;1,04;6,0;50,0
Uniform;1500;0,5;5;74,85;0,09;0,1201;35,51;35,83;1,08;8,0;50,0
Uniform;1600;0,5;5;79,85;0,1;0,1221;37,73;38,09;1,09;7,0;50,0
Uniform;2000;0,5;5;99,81;0,08;0,1313;46,38;46,79;1,16;9,0;50,0
Uniform;2500;0,5;5;124,81;0,05;0,1467;56,65;57,1;1,29;11,0;50,0
Uniform;3000;0,5;5;149,79;0,05;0,169;66,25;66,67;1,52;15,0;50,0
Uniform;3500;0,5;5;174,82;0,05;0,2043;75,1;75,54;1,91;22,0;50,0
Uniform;4000;0,5;5;199,81;0,07;0,2664;83,11;83,54;2,66;31,0;50,0
Uniform;5000;0,5;5;249,86;0,12;0,9609;96,39;96,73;11,76;117,0;50,0
Uniform;100;0,8;5;4,99;0,02;0,1005;2,47;2,55;1,0;2,0;80,0
Uniform;500;0,8;5;24,98;0,08;0,1024;12,0;12,18;1,0;4,0;80,0
Uniform;1000;0,8;5;49,91;0,1;0,1052;23,02;23,31;1,01;5,0;80,0
Uniform;1200;0,8;5;59,88;0,09;0,1065;27,16;27,43;1,02;6,0;80,0
Uniform;1500;0,8;5;74,85;0,09;0,1085;33,1;33,39;1,03;6,0;80,0
Uniform;1600;0,8;5;79,85;0,1;0,1093;35,01;35,31;1,04;7,0;80,0
Uniform;2000;0,8;5;99,81;0,08;0,1124;42,28;42,64;1,06;7,0;80,0
Uniform;2500;0,8;5;124,82;0,05;0,1169;50,56;50,94;1,11;10,0;80,0
Uniform;3000;0,8;5;149,79;0,05;0,1221;57,97;58,33;1,17;11,0;80,0
Uniform;3500;0,8;5;174,82;0,05;0,1283;64,55;64,9;1,25;13,0;80,0
Uniform;4000;0,8;5;199,81;0,07;0,1355;70,32;70,65;1,35;16,0;80,0
Uniform;5000;0,8;5;249,88;0,11;0,1541;79,73;80,01;1,68;21,0;80,0
